type,ids,length,openings
IW,IW,6300.0,2
IW,IW,4500.0,1
IW,IW,4500.0,1
IW,IW,3599.9999999999982,0
IW,IW,3600.0,1
IW,IW,3599.9999999999964,0
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,899.99999999999864,0
IW,IW,1800.0000000000018,0
IW,IW,2699.9999999999995,1
IW,IW,2700.0,0
IW,IW,3600.0,0
IW,IW,1800.0,0
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,2700.0,0
IW,IW,2700.0,0
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,2700.0,1
IW,IW,2700.0,0
IW,IW,1800.0000000000009,1
IW,IW,1799.9999999999991,1
IW,IW,3600.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
